,pmi,trade,ip,oil,fin,ai,copper,usd,trend,fitted,actual,residual
2013-07-01,0.05963980979139629,0.0038106803953705114,0.0075154223615779584,-0.013758485161250575,0.06815694603655409,0.006949283880403431,-0.07102851898500158,0.023347070023989617,2.724508548787808,2.8091407571308475,2.88974765617324,0.08060689904239249
2013-10-01,0.06424002873277795,0.02637597633860164,0.027466313910882913,-0.017196701273158574,0.06960995391726288,0.07885418332320307,-0.07529342831321867,0.02053795229715188,2.724508548787808,2.9191028277213107,2.936205035241644,0.017102207520333312
2014-01-01,0.05712751310016211,0.017816280756577037,0.006989920450649856,-0.027344521947697823,0.06126561421584501,0.04915333232875334,-0.08035396298833199,0.037814245721122776,2.724508548787808,2.846976970424888,3.0755771724468537,0.22860020202196552
2014-04-01,0.05076529147938722,0.006934150433074259,0.013284779035420184,0.003245799348109628,0.08738165208095545,0.04682696713099411,-0.05359964038102963,0.07074468358852747,2.724508548787808,2.9500922315032465,3.16849193058366,0.21839969908041335
2014-07-01,0.04606322267214431,0.025336238571760306,-0.012136413739611482,-0.03265310114343721,0.08307048597172811,0.054137697315562824,-0.041604183658503116,0.016790697930414267,2.724508548787808,2.863513192707866,3.16849193058366,0.304978737875794
2014-10-01,0.04468145949196626,0.015839361500070946,0.012977328456873624,-0.1021569764934604,0.04809618683838561,0.040201154372620146,-0.07490533161511119,-0.10906583994728636,2.724508548787808,2.6001758913918662,3.161612151652893,0.561436260261027
2015-01-01,0.0436561708422998,-0.022923314957004753,-0.016067893554054198,-0.1598419135992402,0.039455082863542615,0.00715468519332362,-0.11752686894338331,-0.2511703219168857,2.724508548787808,2.2472441747164056,3.1409728148605933,0.8937286401441877
2015-04-01,0.0315336603079889,-0.06876585138113214,-0.01826709128656126,-0.13969669765378082,0.07518298327453538,-0.022533944946335486,-0.08248473558637837,-0.27426774787130315,2.724508548787808,2.225209123644841,3.12721325699906,0.902004133354219
2015-07-01,-0.0037902496694248605,-0.0036038548824329653,-0.0037703298233286945,-0.16426012576024995,0.005137977437440173,-0.10935032212592832,-0.14963718446333277,-0.23344477375309053,2.724508548787808,2.06178968574746,3.12721325699906,1.0654235712516003
2015-10-01,-0.0328497138972904,-0.03420154001977641,-0.016075519681258622,-0.1381494238428747,0.03455357633182994,-0.10495517870348069,-0.1598844179368411,-0.14988010757449224,2.724508548787808,2.1230662234636233,3.0709678378902048,0.9479016144265815
2016-01-01,-0.04671555463558657,-0.04794849524900176,0.007357357715869263,-0.12130172310158893,-0.011052516781091516,-0.13431378436580435,-0.13366978206953845,-0.012510134625690495,2.724508548787808,2.224353915675375,2.9022315805636403,0.6778776648882654
2016-04-01,-0.04111720700876862,-0.026978558881110528,-0.0037620322849164023,-0.09156772038856986,0.05144967414339239,-0.1185162188954698,-0.1444264432437548,0.048637723620532425,2.724508548787808,2.3982277658491427,2.78974074234593,0.3915129764967875
2016-07-01,-0.020176535088224732,0.019480087654977166,-5.897085616609153e-06,-0.03747653442112661,0.08093671714605005,0.03846256092089598,-0.07850081751196808,0.03477919365853205,2.724508548787808,2.762007324061327,2.78974074234593,0.027733418284602962
2016-10-01,0.01249350688440772,0.05456994216726382,0.04291350504349606,0.031359236683707846,0.07056008915497258,0.042655678458250766,0.015091069705074133,-0.006941580652702161,2.724508548787808,2.9872099962322785,2.8992149905682005,-0.08799500566407792
2017-01-01,0.04179910828810361,0.00712011731318022,0.004278119841724167,0.15283716299045874,0.10048701648420351,0.14144628410846305,0.09816598302407295,-0.026901051693669326,2.724508548787808,3.243741289144345,3.2276377352350103,-0.0161035539093346
