,gdp_growth_saar
1977-04-01,3.94144875757631
1977-07-01,3.94144875757631
1977-10-01,3.9740601013308563
1978-01-01,4.071894132594497
1978-04-01,4.13711682010359
1978-07-01,4.13711682010359
1978-10-01,4.137743570200674
1979-01-01,4.139623820491923
1979-04-01,4.14087732068609
1979-07-01,4.14087732068609
1979-10-01,3.7532858223127334
1980-01-01,2.590511327192663
1980-04-01,1.81532833044595
1980-07-01,1.81532833044595
1980-10-01,1.82746942885118
1981-01-01,1.8638927240668701
1981-04-01,1.88817492087733
1981-07-01,1.88817492087733
1981-10-01,1.641995714892656
1982-01-01,0.9034580969386345
1982-04-01,0.411099684969287
1982-07-01,0.411099684969287
1982-10-01,0.7720623128061957
1983-01-01,1.8549501963169224
1983-04-01,2.57687545199074
1983-07-01,2.57687545199074
1983-10-01,2.93541612364017
1984-01-01,4.01103813858846
1984-04-01,4.72811948188732
1984-07-01,4.72811948188732
1984-10-01,4.550087173007235
1985-01-01,4.01599024636698
1985-04-01,3.65992562860681
1985-07-01,3.65992562860681
1985-10-01,3.600779236944907
1986-01-01,3.4233400619591965
1986-04-01,3.30504727863539
1986-07-01,3.30504727863539
1986-10-01,3.379440599703713
1987-01-01,3.602620562908683
1987-04-01,3.75140720504533
1987-07-01,3.75140720504533
1987-10-01,3.8810351916764447
1988-01-01,4.26991915156979
1988-04-01,4.52917512483202
1988-07-01,4.52917512483202
1988-10-01,4.380686481123814
1989-01-01,3.9352205499991997
1989-04-01,3.63824326258279
1989-07-01,3.63824326258279
1989-10-01,3.4832621538771686
1990-01-01,3.0183188277603032
1990-04-01,2.70835661034906
1990-07-01,2.70835661034906
1990-10-01,2.461160719886913
1991-01-01,1.7195730485004734
1991-04-01,1.22518126757618
1991-07-01,1.22518126757618
1991-10-01,1.3648552050814864
1992-01-01,1.7838770175974066
1992-04-01,2.06322489260802
1992-07-01,2.06322489260802
1992-10-01,2.02902524238517
1993-01-01,1.92642629171662
1993-04-01,1.85802699127092
1993-07-01,1.85802699127092
1993-10-01,2.11772709027862
1994-01-01,2.8968273873017196
1994-04-01,3.41622758531712
1994-07-01,3.41622758531712
1994-10-01,3.3765351904900363
1995-01-01,3.2574580060087865
1995-04-01,3.1780732163546204
1995-07-01,3.1780732163546204
1995-10-01,3.246100016629047
1996-01-01,3.4501804174523265
1996-04-01,3.58623401800118
1996-07-01,3.58623401800118
1996-10-01,3.654659874399808
1997-01-01,3.8599374435956935
1997-04-01,3.99678915639295
1997-07-01,3.99678915639295
1997-10-01,3.79419976733652
1998-01-01,3.18643160016723
1998-04-01,2.78125282205437
1998-07-01,2.78125282205437
1998-10-01,2.91413871691325
1999-01-01,3.3127964014898903
1999-04-01,3.57856819120765
1999-07-01,3.57856819120765
1999-10-01,3.74334046936982
2000-01-01,4.23765730385633
2000-04-01,4.56720186018067
2000-07-01,4.56720186018067
2000-10-01,4.144325629469576
2001-01-01,2.8756969373362966
2001-04-01,2.02994447591411
2001-07-01,2.02994447591411
2001-10-01,2.078106288717123
2002-01-01,2.2225917271261633
2002-04-01,2.31891535273219
2002-07-01,2.31891535273219
2002-10-01,2.4447899912689954
2003-01-01,2.82241390687941
2003-04-01,3.07416318395302
2003-07-01,3.07416318395302
2003-10-01,3.311032419552568
2004-01-01,4.021640126351213
2004-04-01,4.49537859755031
2004-07-01,4.49537859755031
2004-10-01,4.422674063609442
2005-01-01,4.204560461786836
2005-04-01,4.0591513939051
2005-07-01,4.0591513939051
2005-10-01,4.1308153458229535
2006-01-01,4.3458072015765135
2006-04-01,4.48913510541222
2006-07-01,4.48913510541222
2006-10-01,4.479484882568992
2007-01-01,4.450534214039307
2007-04-01,4.43123376835285
2007-07-01,4.43123376835285
2007-10-01,4.041295553735559
2008-01-01,2.871480909883683
2008-04-01,2.0916044806491
2008-07-01,2.0916044806491
2008-10-01,1.5208307102200849
2009-01-01,-0.19149060106696
2009-04-01,-1.33303814192499
2009-07-01,-1.33303814192499
2009-10-01,-0.3573897618145181
2010-01-01,2.569555378516897
2010-04-01,4.52085213873784
2010-07-01,4.52085213873784
2010-10-01,4.319763181132646
2011-01-01,3.71649630831706
2011-04-01,3.3143183931066695
2011-07-01,3.3143183931066695
2011-10-01,3.2198375933280334
2012-01-01,2.936395193992123
2012-04-01,2.7474335944348502
2012-07-01,2.7474335944348502
2012-10-01,2.771152604724582
2013-01-01,2.8423096355937765
2013-04-01,2.88974765617324
2013-07-01,2.88974765617324
2013-10-01,2.9362050352416436
2014-01-01,3.0755771724468537
2014-04-01,3.16849193058366
2014-07-01,3.16849193058366
2014-10-01,3.161612151652893
2015-01-01,3.1409728148605933
2015-04-01,3.12721325699906
2015-07-01,3.12721325699906
2015-10-01,3.0709678378902048
2016-01-01,2.9022315805636403
2016-04-01,2.78974074234593
2016-07-01,2.78974074234593
2016-10-01,2.8992149905682005
2017-01-01,3.2276377352350103
2017-04-01,3.44658623167955
2017-07-01,3.44658623167955
2017-10-01,3.419927003837637
2018-01-01,3.339949320311897
2018-04-01,3.2866308646280706
2018-07-01,3.2866308646280706
2018-10-01,3.185577178448892
2019-01-01,2.882416119911357
2019-04-01,2.6803087475530005
2019-07-01,2.6803087475530005
2019-10-01,1.75255531386569
2020-01-01,-1.0307049871962402
2020-04-01,-2.88621185457086
2020-07-01,-2.88621185457086
2020-10-01,-1.3243283994811301
2021-01-01,3.36132196578806
2021-04-01,6.48508887596752
2021-07-01,6.48508887596752
2021-10-01,5.977575892082345
2022-01-01,4.45503694042682
2022-04-01,3.44001097265647
2022-07-01,3.44001097265647
2022-10-01,3.3432399661070136
2023-01-01,3.052926946458643
2023-04-01,2.85938493335973
2023-07-01,2.85938493335973
2023-10-01,2.8661563447276315
2024-01-01,2.8864705788313363
2024-04-01,2.90001340156714
2024-07-01,2.90001340156714
2024-10-01,2.903556698871205
2025-01-01,2.9141865907834
2025-04-01,2.9212731853915295
2025-07-01,2.9212731853915295
2025-10-01,2.9212731853915295
