,pmi,trade,ip,oil,fin,ai,copper,usd
2012-01-01,49.63450000000002,-0.5342803082860281,2.191123985029786,15.166073544518754,-2.537318509617232,-0.7675065862951829,-15.552077411148456,-1.4176333838227473
2012-02-01,49.616425,0.17268239971310884,5.951032795237499,14.496912279833673,-2.3105930328802073,-0.7766318169953993,-14.37849694808071,-1.477023510570774
2012-03-01,49.53477500000002,4.943854900232503,2.6109175576378485,8.63064985706028,-2.027957334074474,-0.5615365002837613,-11.113819309282691,-4.256482503913905
2012-04-01,49.38300000000002,-0.23986229163367456,1.7851543774477063,-2.0837177900410286,-2.2356450381983297,-0.7906821615636557,-13.595469302789597,-6.258991942309966
2012-05-01,49.193,10.286476230835229,-0.35547855203293954,-3.563838103737693,-2.6343831429470823,-0.9933866838409696,-11.964542032811554,-7.984937884490129
2012-06-01,49.00759999999998,2.0235517590499352,-0.12738777666821965,-15.780849726523993,-2.650581208974356,-0.7381282962487955,-18.53287520619551,-10.076950898695824
2012-07-01,48.87337500000001,3.634855960317096,0.8053312330540852,-12.1705635492524,-2.203312449597979,-0.5935854991899082,-21.862566372445357,-11.116844467024167
2012-08-01,48.816500000000005,-6.1916160007837835,-0.8319943374845873,2.514220655547139,-1.968035605392643,-0.23219320544928812,-16.195486187059526,-10.673288972531147
2012-09-01,48.8532,1.322255490947466,-1.8242205205165285,2.196303159629287,-1.9172555822505961,-0.18694862384733077,-0.5111089309501438,-3.6676414937304003
2012-10-01,48.97635000000001,-1.3153623171964224,-2.0969247303630034,2.320619633454113,-2.0416195305524636,-0.7102960829934281,10.563194118372522,-3.310003777591919
2012-11-01,49.17210000000001,-0.6434046272884131,-2.142133392552048,-1.2277549847306668,-2.095019406603967,-0.5620168677299405,1.783886892267872,-3.586799565421339
2012-12-01,49.42640000000001,-3.8411035736283794,1.1890706757033964,1.4666540172241227,-2.17092007467625,-0.4112466474695764,5.581282550147648,-0.18473713930495794
2013-01-01,49.70727499999999,5.649181401712444,0.8179984750926517,0.7204916919620885,-1.694042459777201,-0.5419226712374231,-0.03459204945399641,0.49168736522517964
2013-02-01,49.979425000000006,2.621133563395195,0.6204199476330885,-2.4601771580105236,-1.7652140074355722,-0.5519027298876259,-4.664217486387113,-2.12052689698643
2013-03-01,50.199,4.421351494151482,2.451815236891708,-12.063169813444574,-1.6346186658163944,-0.5814024557539211,-9.71492337001264,-3.8833357046612837
2013-04-01,50.367500000000014,0.29571226940812156,3.593863709944767,-14.04280248275972,-1.751998210542361,-0.34805301253651416,-11.884172531880266,-3.933804969008259
2013-05-01,50.503,2.6968851040859887,4.0502970405821515,-6.535832033274813,-1.692587174437771,0.26034942873982736,-7.599222674230955,-2.827517382749334
2013-06-01,50.614750000000015,-2.8082659715534475,0.7007977970951984,7.5218425224846674,-2.1664671099492883,0.08475361617618969,-5.022865810231192,0.44998209337208106
2013-07-01,50.7095,-0.4299186188501336,0.4519456050293913,4.498761301942333,-1.7529104983605566,0.1772570505619941,-8.629594396471173,0.3347546142944413
2013-08-01,50.8005,3.0536155640723095,1.743665084666235,-1.9226033379517005,-1.7824449281227066,-0.10160448519657697,-3.984864857456294,0.8254413053363052
2013-09-01,50.87675000000001,5.963983366327419,3.799899958764952,-1.1496764197840625,-1.8429050835275917,0.29638355453153153,-11.976979403745236,-1.68552438071925
2013-10-01,50.920249999999996,5.460635029593952,3.7110650596638983,-1.8981899260192447,-1.932695395824602,0.5846103275972283,-11.211350797895303,-0.19875866661660524
2013-11-01,50.92475,6.191905675658282,4.025882305865092,-1.5904582153059676,-1.621134296920648,0.5313442425993554,-8.198584896924888,-0.19676686560350376
2013-12-01,50.88049999999999,3.916621716186386,2.7777045733343497,1.4191972860986057,-1.7802348716379552,0.6152102240924836,-7.780454895226097,-0.6872824194249727
2014-01-01,50.79975000000001,6.454155124352923,1.7770679334634165,-4.514725474362868,-1.7863274836625311,0.2888900836633508,-8.51392577181851,-1.17209504651683
2014-02-01,50.726499999999994,1.6137936173202583,2.093316992337657,-6.354542431944843,-1.9404942592506746,0.4077443097154278,-10.39153007696294,0.18348008871000854
2014-03-01,50.67550000000001,4.852927491880243,2.0060925767977356,-1.5183520008556939,-1.8610514818625423,0.47313224093488276,-11.368725124735303,3.334349414579496
2014-04-01,50.627250000000004,2.3496063085353125,4.333454745375853,4.330620974498278,-1.7809516649370714,0.33146115251511415,-6.342293330845205,3.2374030419198396
2014-05-01,50.577499999999986,4.339584766204996,1.3471202888397649,5.817025223307715,-1.5648434126663044,0.2806893809535132,-5.062072006895146,3.923141810340869
2014-06-01,50.528499999999994,2.864860351279175,1.621771346341827,8.568565604939572,-1.447710129751138,0.5136437196598314,-2.566257203817268,1.7203531367259606
2014-07-01,50.486499999999985,3.0213423591340938,0.9252449278101649,0.45957321780381033,-1.542406129455063,0.2567510236620864,2.662395697842368,2.707853832787266
2014-08-01,50.45774999999999,2.4690520241631875,-0.9820286420668012,-6.5073799002381305,-1.693027031085608,0.6617626767040025,-3.783736891915135,-0.4688060963174978
2014-09-01,50.44274999999999,9.757083330950245,1.6008930938748334,-11.737505923878079,-1.6892042075439238,0.3454661715670465,-5.539485750553186,-4.06551176040999
2014-10-01,50.43375000000001,5.918212508150544,0.4055618937914396,-19.65542993834942,-2.259865117150694,0.23283434391036023,-7.499983680343247,-7.267016045336083
2014-11-01,50.42725000000001,6.171670591265044,3.9021589787450406,-25.815704425828613,-1.6824922843436172,0.4738058312314854,-6.179202382487492,-8.515685264160734
2014-12-01,50.424250000000015,0.21935362997558272,2.9249838781802984,-42.984793995683255,-2.0460885277030805,0.29391459944144205,-13.274706026105354,-11.020444164621779
2015-01-01,50.421499999999995,2.595653848373458,0.9778013676570607,-53.65650012360816,-2.3982727634937593,0.14179973453613395,-20.92065501215643,-15.056982922452388
2015-02-01,50.410499999999985,2.538722264128812,0.9002839437138421,-46.239888943025306,-1.9949598529856216,0.24414982382595915,-20.143856576525,-17.401171669456804
2015-03-01,50.37775,-4.817932781314605,-1.2245082028507381,-47.212815883060976,-1.858048612171952,-0.010030993509224609,-11.8621077672029,-22.546135126668766
2015-04-01,50.29675000000001,-5.811350952704986,0.46796086696729855,-43.5778225506582,-1.6927283615145452,0.009268647788042808,-10.314012316670695,-22.213939437706998
2015-05-01,50.13625000000001,-9.108961503159152,-0.5741150358506419,-39.93656377894024,-1.6731275125485485,0.16945253628938434,-7.619636147929921,-19.0658353182098
2015-06-01,49.88407500000001,1.0535228827660559,0.261583851050573,-43.11143106531343,-1.7986946045911598,-0.3639697836169065,-13.638983457099918,-18.308282004967367
2015-07-01,49.562124999999995,0.9263869812034198,1.5262840466021776,-47.56554941045458,-1.800348067468646,-0.38312487506217713,-23.054107834494896,-20.37865916182744
2015-08-01,49.22572500000001,5.322156728188587,0.6385647621981461,-53.33013756711982,-2.4369817218576335,-0.7175318731766505,-26.108986090036357,-17.729794870143035
2015-09-01,48.92804999999999,0.045151824587952305,1.274289430636677,-50.70589731609101,-3.057770227679119,-0.7255736000546565,-23.330920690512137,-13.378137063377293
2015-10-01,48.69975,0.3104647582285347,1.1120999311351687,-44.0616304490102,-2.1060126900217964,-0.4719989360680319,-22.011035545769975,-11.723596593501329
2015-11-01,48.517399999999995,-3.647214978461233,1.1694691686696013,-42.55313332688275,-2.0333168511422386,-0.6055229716749905,-28.573327821928697,-12.885880760056923
2015-12-01,48.35887499999998,0.16382090126190185,-1.62971941014457,-38.43780619352785,-2.261040153589404,-0.6656325236128895,-28.15411395168811,-10.293405951722058
2016-01-01,48.23460000000001,-2.591836221975663,1.3887145910423948,-35.16081894526578,-2.9750768173480395,-0.7374844898705142,-24.263967512730222,-6.502683331000991
2016-02-01,48.160825,1.4086209491420476,1.7900715589308946,-42.58008593387438,-2.8244414060329626,-0.9152858208054624,-20.90924473748821,-2.7923625198240654
2016-03-01,48.15954999999999,-6.2428876911773346,2.780920761836736,-30.181147123877928,-1.9880458825445164,-0.6453132438000792,-17.59058113086346,1.653726489850238
2016-04-01,48.217099999999995,-1.6501584877427367,1.1683159044330482,-28.833761611147068,-1.7937939153318274,-0.7354765346359273,-20.70215104551091,3.266762200595652
2016-05-01,48.311649999999986,-4.358669545065464,-0.011554337479902088,-27.228170028818553,-1.8630823278528672,-0.7411402881096241,-27.02540886477308,0.7039417558497241
2016-06-01,48.43847499999999,5.070618512173941,2.2842561748787737,-21.626981995379424,-2.2295671128932755,-0.522865045576995,-21.591131404889353,0.5229885185217498
2016-07-01,48.608875000000005,1.3967305511131345,-0.34159649967657746,-18.17465179656217,-1.6505490380141024,-0.006598233760272643,-11.074009757163028,0.4019835431445684
2016-08-01,48.821024999999985,8.603565703725135,3.217102781511194,-2.171144598888275,-1.555351324207607,0.3780843205173388,-8.240038125071592,1.0356033207625237
2016-09-01,49.079349999999984,3.4353455782762277,1.4163258524038547,-2.3439189950781425,-1.783639565755155,0.5962062232144958,-9.830862655237771,0.3058306228429508
2016-10-01,49.36142499999999,5.172596011212804,2.9625274383817235,4.056579121882353,-1.8295132830588667,0.1688726412423083,-9.725587551702464,-2.1155801514669337
2016-11-01,49.64279999999999,6.9735703261662785,5.102814202028361,2.617249434097224,-1.9111661122574064,0.3393824708840997,14.33625196868511,-0.6790664158192516
2016-12-01,49.910774999999994,12.145933666390341,5.948303769277241,40.627752299210826,-1.5644850331060394,0.5386944713310714,23.27748188638237,-3.7415732806493684
2017-01-01,50.15125000000001,8.776396914297479,2.8551573050938472,72.06885326343337,-1.4561232996994349,0.992382990187464,30.315682014324928,-2.1197089542747793
2017-02-01,50.364499999999985,-1.1218996526079494,0.9643351455108196,66.66470820747945,-1.4463426013646823,1.037375184395539,29.84087760972265,-3.703109928091508
2017-03-01,50.55724999999999,1.957090500204206,1.4427262820113862,32.08515867080597,-1.492415196754287,0.8845070708145742,18.355806301927547,-4.674429597937402
2017-04-01,50.73975000000001,1.9711079473177184,3.992490045097541,24.044900109654186,-1.6477663411946657,1.0372085159017892,18.479346906113147,-5.9758748176868215
2017-05-01,50.92825000000001,9.33250625057671,4.2570135217851135,7.562986911333791,-1.3625195745763135,1.042784287346644,20.725027846296662,-3.9638767574072586
2017-06-01,51.13575000000001,1.489449897169659,3.8386849311247806,-4.780632627875104,-1.3187880275772386,0.8896549590557523,24.037097258351903,-2.4044682884072577
2017-07-01,51.354749999999996,3.5812317815731243,3.5560542136181317,6.0315999145552635,-1.287537373655162,0.6767727341642358,23.625883433828122,1.7722434187372627
2017-08-01,51.579000000000015,1.8645891329439834,4.513072295082199,10.036222941195149,-1.5021773809910677,0.6073922826214929,38.199097280511786,2.3106666046690427
2017-09-01,51.78474999999999,4.000794400111096,3.118890262724605,17.662243768318376,-1.3093005077743682,0.6409431900575246,39.603124395594726,3.2904511659455737
2017-10-01,51.95025000000001,1.0545642073837236,3.171785902728086,12.572794537167908,-1.270096070195696,1.0162225286774742,44.8178867025842,4.112436556253829
2017-11-01,52.06025,8.794838139728945,4.254254346937714,33.46089853105685,-1.3221547078571467,0.7626558224448321,25.55583659672662,5.725217089414658
2017-12-01,52.10799999999999,13.591664909677093,5.629900379982988,17.085687621452237,-1.2875373796364147,0.5848040555431409,20.703202345897132,8.455103099073135
2018-01-01,52.10274999999999,11.801268628547422,3.5988220842285923,24.52844365456408,-1.3876203424079498,0.7490351454418357,21.99913999508718,10.262097161372264
2018-02-01,52.047750000000015,0.6980557309512969,-0.41948890960419316,17.48148283661419,-2.8178857241209756,0.6486547750899154,17.562657917203307,10.885303868362172
2018-03-01,51.9295,-10.04944673560988,0.2483630325090358,27.241630403939364,-2.386269769409937,0.3848417609810769,16.11438631870792,10.800945269263485
2018-04-01,51.7465,-3.3808521709281503,2.1017612955179343,33.34036550101154,-2.2914162646849285,0.1520242342669854,19.38626148909708,9.747518008903345
2018-05-01,51.50549999999999,1.5835620694112595,2.8761384966679904,50.2969851002556,-1.7717258711496686,0.23189058466926452,20.20382077011107,5.056639355026327
