,pmi,trade,ip,oil,fin,ai,copper,usd,factor_static,factor_smoothed
2009-05-01,42.00402499999999,-2.053043932387655,2.2229195533217228,-52.8870996609765,-4.011191008623367,-1.3627778155865815,-44.19699476987091,-12.684566325678336,-1.851563377356334,-1.8819485139003573
2009-06-01,43.71504999999999,7.807411562321853,7.723192304344972,-48.22212407472779,-3.655260806832005,-1.2539849344343377,-38.11521838133678,-9.447530696612816,-1.3044592216872268,-1.3935184056174896
2009-07-01,45.43795,15.79396787284919,9.904386782898712,-50.85704735682097,-3.2817467264654305,-0.8787316832404878,-36.54428667922647,-9.583787845862249,-0.9177816361341602,-0.9496809662991543
2009-08-01,47.05165000000001,18.9999581002851,8.755723635907087,-36.62949132583066,-3.178188744858064,-0.9219133660813912,-18.21117052746544,-3.138441545515347,-0.46853212712486125,-0.4701100097086448
2009-09-01,48.48187500000002,23.81943369046555,11.2665664244203,-32.047024307754,-3.126700277729187,-0.3900345835092983,-10.440672877505264,1.6056696983276495,0.03297263214902875,0.06881469988704969
2009-10-01,49.6885,21.041515401958712,8.987667543907119,-0.1486694084950168,-3.042107040464336,0.1552807602666896,31.70294122705708,8.542621315640474,0.737436853562956,0.7415437033642402
2009-11-01,50.66199999999999,19.143754171067663,9.689522554575223,41.14214949410824,-2.983306056226819,1.0504920700678348,80.1393113094154,12.83678749255218,1.5993112460980168,1.447286134988786
2009-12-01,51.40650000000001,15.94124992620598,7.180730998559093,74.98431256272518,-2.6642026990157155,1.3159217603186766,129.6671078802117,7.598820795745464,2.0335759503941957,1.8941082883020663
2010-01-01,51.92499999999999,7.512311031265062,9.770753878669147,68.04989338546117,-2.5893942353641037,0.9422705116537896,125.75003570864756,7.467649113836283,1.862299947232406,1.9413599964955017
2010-02-01,52.22100000000001,12.94918313601412,7.997041187151033,68.13975967288013,-2.8273264575079406,1.3272787579304963,107.06287266959768,7.390696745579605,1.8423535031459555,1.8959899112807437
2010-03-01,52.33975000000001,9.997851272140966,11.011974113405088,66.49359394010031,-2.228669717920969,1.1023458286614871,97.75526923015,6.693267940349712,1.811333124125876,1.768245426228545
2010-04-01,52.289749999999984,13.102765662762897,9.65452703034022,64.95699274763167,-2.1856319355770832,0.7830073223246066,71.9914339654544,4.7137877364186735,1.5291387236568252,1.463049525978532
2010-05-01,52.117,20.250213720104718,12.52438006435308,30.8283712843332,-4.005107369047178,0.3757869409961224,47.46394541933199,-3.895401085556016,0.82180253441406,1.0044715136267766
2010-06-01,51.914750000000005,17.494903940482143,5.100073807367167,9.062572865070797,-3.752587693071293,0.2297015620129044,28.62773556659308,-8.092847200895047,0.31925723369534886,0.6123664439429906
2010-07-01,51.78425000000001,12.861817766155092,2.656840570818053,14.58035543173326,-3.206800060476072,-0.1011294687270251,28.45120613642638,-4.505505012839062,0.3026419991381039,0.42581553637204267
2010-08-01,51.78999999999999,2.9293853307290174,0.28870501893965,5.55435913808966,-3.104026760678294,-0.5576635000709276,18.11797614233903,-4.717128426613981,-0.08352823089188838,0.23415485368176078
2010-09-01,51.933250000000015,-1.2712043124584849,3.546939155321871,14.975576189578232,-2.8245190734510874,-0.3580719994159134,24.98202608945146,-5.292611028882432,0.0883707235142816,0.31764280673406553
2010-10-01,52.17875,8.32464637235628,6.008611712166578,13.025662639997226,-2.555548540103154,0.2099008332600513,31.0762450655552,-1.905205271558708,0.5563803429364993,0.5509991824739163
2010-11-01,52.4755,10.50159899037084,7.01005243539512,11.016112610930096,-2.520725152607148,0.2157976758241983,26.579628102422404,-4.033495800302878,0.5429489468925051,0.6329219373707086
2010-12-01,52.75475,8.784078361655023,7.270250371624298,22.57282680412058,-2.203852745975229,-0.1375689239353146,30.80564707645379,-4.244161309095684,0.5787228219071874,0.7056453071252635
2011-01-01,52.95825000000001,8.12722813865685,7.224780464861347,25.682768654061476,-2.171986286764928,0.6169561872714716,30.15938612220812,-1.6771134145552091,0.8200471487957812,0.8321346771846565
2011-02-01,53.02900000000001,2.0880664141758265,4.018749717231085,38.75598183073148,-2.186348706989912,0.5015536807634765,44.00104490694541,2.9606815914401063,0.9042216959234775,0.8791926954732653
